atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_FD,scout_DS,scout_FC,scout_FS,scout_I,scout_SG,scout_FF,scout_CA,scout_CV,scout_DE,scout_GS,scout_V,scout_A,scout_G,scout_FT,scout_PC,scout_PS
114323,Colidio,267,VAS,5,,,,3.0,,2.0,,,,2.0,,,,,,,1.0,,,
114801,Danilo Pereira,263,BOT,5,,,,,,,1.0,,,,,,,,,,,,,
114802,Vitor Roque,275,PAL,5,,,,2.0,2.0,,3.0,,,,,,,,,,,1.0,,
115479,Paulo Pezzolano,285,INT,6,,,,,,,,,,,,,,,,,,,,
115674,Gabriel Delfim,282,CAM,1,,,,,,,,,,,,,,1.0,,,,,,
115986,Denilson,2305,MIR,4,,,,,2.0,,,,,,,,,,,,,,,
116065,Cuiabano,267,VAS,2,,,,1.0,3.0,,1.0,,1.0,2.0,,,,,,,,,,
116706,Andrés Gómez,267,VAS,5,,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,
117330,Robert Renan,267,VAS,3,,,,,1.0,,,,1.0,,,,,,,,,1.0,,
117926,Nicolás Fonseca,294,CFC,4,,,,,,2.0,,,,,1.0,,,,,,,,1.0,
117930,Lavega,294,CFC,5,,,,,2.0,,1.0,,,,,,,,,,,,,
118655,Saldivia,267,VAS,3,,,,,3.0,1.0,3.0,,1.0,1.0,,,,,,1.0,,,,
118774,Alexsander,282,CAM,4,,,,,1.0,,,1.0,,,,,,,,,,1.0,,
122121,Túlio Eduardo,315,CHA,5,,,,,,2.0,,,,1.0,,,,,,,1.0,,,
122390,Rodrigo Gelado,294,CFC,2,,,,,,,,,,,,,,,,,,,,
122781,Caballero,277,SAN,5,,,,,,,,,,,,,,,,,,,,
124270,Allex,285,INT,4,,,,,,,1.0,,,1.0,,,,,,,,,,
124483,Lucas Monzón,263,BOT,3,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
124526,Giay,275,PAL,2,,,,,1.0,2.0,2.0,,1.0,,1.0,,,,,,,,,
124552,Lescano,267,VAS,4,,,,,4.0,1.0,,,,1.0,,,,,,,1.0,,,1.0
124961,Castaño,282,CAM,4,,,,,,,,,,,,,,,,,,,,
125803,Pedro Morisco,294,CFC,1,,,,,,,,,,,,,6.0,5.0,,,,,,
126182,Paulinho,285,INT,4,,,,,1.0,,1.0,,,,,,,,,,,,,
126977,Fernando Seabra,294,CFC,6,,,,,,,,,,,,,,,,,,,,
127273,Artur Jorge,283,CRU,6,,,,,,,,,,,,,,,,,,,,
128177,Pedro Emanuel,267,VAS,6,,,,,,,,,,,,,,,1.0,,,,,
128433,Johan Rojas,267,VAS,4,,,,,2.0,,,,,1.0,,,,,,,,,,
130048,Noriega,284,GRE,3,,,,,1.0,2.0,,,1.0,,1.0,,,,,,,,,
130307,Wallace,284,GRE,3,,,,,4.0,3.0,1.0,,1.0,,,,,,,,,,,
130525,Pedro Lima,276,SAO,2,,,,,3.0,2.0,2.0,,1.0,,,,,,,,,,,
130806,Kauan,315,CHA,3,,,,,1.0,2.0,1.0,,,,,,,,,,,,,
131617,André Silva,276,SAO,5,,,,,,1.0,,,,,,,,,,,,,,
138941,Bruno Duarte,267,VAS,5,,,,,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,,
140438,David,315,CHA,4,,,,,,,,,,,,,,,,,,,,
141131,Vitão,282,CAM,3,,,,,4.0,1.0,,,,,1.0,,,,,,,,,
141339,Paulo Roberto,294,CFC,5,,,,,,2.0,,,,,1.0,,,,,,,,,
141344,Vitor Tissi,294,CFC,4,,,,,2.0,,1.0,,,,,,,,,,,,,
141400,Huguinho,263,BOT,4,,,,,1.0,1.0,,,,,1.0,,,,,,,,,
141594,Pedro Gabriel,284,GRE,2,,,,,4.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,
141754,Gabriel Bontempo,277,SAN,4,,,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,
141776,Gustavo Henrique,277,SAN,4,,,,,1.0,2.0,1.0,,,,,,,,,,,,,
141991,Tico,364,REM,5,,,,,,,,,,,,,,,,,,,,
142004,Amuzu,284,GRE,5,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
142086,Kauan Toledo,263,BOT,5,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
142877,Villalba,263,BOT,5,,,,,,,,,,,,,,,,,,,,
142890,Montoro,263,BOT,4,,,,,1.0,,,,,,,,,,,,,,,
145404,Arthur,275,PAL,2,,,,,,,,,1.0,,,,,,,,,,,
147090,Kauã Pascini,282,CAM,2,,,,1.0,,1.0,,,,,,,,,,,,,,
148215,Djhordney,276,SAO,4,,,,,3.0,2.0,,,,,,,,,,,,,,
150180,Ramon Rique,267,VAS,4,,,,,1.0,,,,,,,,,,,,1.0,,,
151600,Miguel Carvalho,315,CHA,4,,,,,2.0,,,,,,,,,,,,,,,
39850,Vagner Mancini,280,RBB,6,,,,,,,,,,,,,,,,,,,,
40990,Dorival Júnior,276,SAO,6,,,,,,,,,,,,,,,1.0,,,,,
41929,Renato Gaúcho,284,GRE,6,,,,,,,,,,,,,,,,,,,,
42411,Cuca,277,SAN,6,,,,,,,,,,,,,,,1.0,,,,,
45125,Tite,263,BOT,6,,,,,,,,,,,,,,,,,,,,
51413,Walter,2305,MIR,1,,,,,,,,,1.0,,,,4.0,,,,,,,
63008,Rafael Tolói,276,SAO,3,,,,,4.0,3.0,,,1.0,,,,,,,,,,,
63013,Marcos Rocha,284,GRE,2,,,,,1.0,,,,1.0,,,,,,,,,,,
63289,Edenílson,263,BOT,4,,,,,,,,,,,,,,,,,,,,
63354,Rodrigo Moledo,294,CFC,3,,,,,1.0,,,,,,,,,,,,,,,
68685,Alan Patrick,285,INT,4,,,,,1.0,1.0,3.0,,,1.0,,,,,,,,,,
68708,Eduardo,2305,MIR,4,,,,,1.0,,,,,1.0,,,,,,,2.0,,,
68920,Dudu,282,CAM,5,,,,1.0,,,,,,,,,,,,,,,,
68928,Rafael,276,SAO,1,,,,,,,1.0,,1.0,,,,1.0,,,,,,,
68938,Giovanni Augusto,315,CHA,4,,,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,
70592,Felipe Anderson,275,PAL,4,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
70666,Marllon,364,REM,3,,,,,,,,,,,,,,,,,1.0,,,
70944,Bruno Henrique,285,INT,4,,,,,,2.0,1.0,,,,1.0,,,,,,,,,
71123,Thiago Mendes,267,VAS,4,,,,,1.0,,,,,1.0,,,,,,,,,,
71631,Weverton,284,GRE,1,,,,,,,2.0,,1.0,,,,12.0,,,,,,,
71684,Gustavo Gómez,275,PAL,3,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
72391,Fernando Diniz,264,COR,6,,,,,,,,,,,,,,,,,,,,
72460,Bernard,282,CAM,4,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,
72493,Alex Telles,263,BOT,2,,,,,1.0,,1.0,,,,,,,,,,,,,
72605,Vitor Hugo,282,CAM,3,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,
72951,Mercado,285,INT,3,,,,1.0,2.0,,,,,,1.0,,,,,,,,,
73318,Daniel Borges,2305,MIR,2,,,,,,,1.0,,1.0,,,,,,,,,1.0,,
73476,Marcão,266,FLU,6,,,,,,,,,,,,,,,,,,,,
73992,Rodinei,277,SAN,2,,,,,,1.0,2.0,,,,,,,,,,,,,
77510,Fred,282,CAM,4,,,,1.0,1.0,3.0,3.0,,,1.0,,,,,,,,,,
78850,Reinaldo,2305,MIR,2,,,,,3.0,,,,1.0,,,,,,,,,,,
78855,Thiago Santos,294,CFC,3,,,,,2.0,,1.0,,,,,,,,,,,,,
80076,Zé Roberto,2305,MIR,5,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
80196,Yago Pikachu,364,REM,4,,,,,,,1.0,,,,,,,,,1.0,,,,
80287,Luciano,276,SAO,5,,,,,3.0,,1.0,,,1.0,,,,,,,,,,1.0
81091,Jair,267,VAS,4,,,,,,,1.0,,,,,,,,,,,,,
82407,Chico Kim,2305,MIR,4,,,,,3.0,2.0,2.0,,,1.0,,,,,,,,,,
82730,Marcelo Rangel,364,REM,1,,,,,,,,,,,,,2.0,2.0,,,,,,
82775,Lucas Ramon,276,SAO,2,,,,,1.0,1.0,,,1.0,,,,,,,,,,,
83257,Gabriel,277,SAN,5,,,,,,,,2.0,,1.0,1.0,,,,,1.0,1.0,,,
84339,Bruno Melo,294,CFC,2,,,,,,,1.0,,,,,,,,,,,,,
84626,Josué,294,CFC,4,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,
84674,Lucas Evangelista,275,PAL,4,,,,,3.0,2.0,3.0,,,1.0,1.0,,,,,,,,,
84847,Luan Peres,277,SAN,3,,,,,1.0,1.0,,,,,1.0,,,,,,,,,
85035,Sanabria,285,INT,5,,,,,,,,,,,,,,,,,,,,
85403,Danielzinho,276,SAO,4,,,,,,2.0,,,,,,,,,,,,,,
86292,Bolasie,315,CHA,5,,,,,,1.0,,,,,,,,,,,,,,
86777,Danilo Barbosa,284,GRE,4,,,,,,,2.0,,,,,,,,,,,,,
86859,José Welison,364,REM,4,,,,,3.0,2.0,,,,,1.0,,,,,,,,,
86864,Marlon,364,REM,2,,,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,
87008,Léo Jardim,267,VAS,1,,,,,,,,,1.0,,,,1.0,,,,,,,
87470,Thaciano,277,SAN,4,,,,,,,,,,,,,,,,,,,,
87552,Vitor Bueno,364,REM,4,,,,1.0,,,2.0,,,,,,,,,,,,,
87742,Neto Moura,2305,MIR,4,,,,,2.0,,,,,,,,,,,,,,,
87747,Yago Felipe,315,CHA,4,,,,,3.0,2.0,3.0,,,,,,,,,,,,,
87887,Balbuena,284,GRE,3,,,,,2.0,,,,1.0,,,,,,,,,,,
88963,Leonardo Jardim,262,FLA,6,,,,,,,,,,,,,,,,,,,,
89273,João Pedro,284,GRE,2,,,,,,2.0,,,1.0,,1.0,,,,,,,,,
89274,Andreas Pereira,275,PAL,4,,,,2.0,1.0,,3.0,1.0,,,,,,,,,,,,
89368,Braithwaite,284,GRE,5,,,,,,1.0,1.0,,,,,,,,,,,,,
89637,Thiago Maia,285,INT,4,,,,,1.0,,,,,1.0,,,,,,,,,,
89840,Calleri,276,SAO,5,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,,,
90061,Bruno Pacheco,315,CHA,2,,,,,4.0,,2.0,,,,,,,,,,,,,
90302,Pedro Rocha,294,CFC,5,,,,,,,1.0,1.0,,,,,,,,,,,,
90309,David,267,VAS,5,,,,,,,,,,,,,,,,,,,,
90532,Arthur Melo,277,SAN,4,,,,,,1.0,1.0,,,,,,,,,,,,,
90917,Carlos Eduardo,2305,MIR,5,,,,,,,,,,,,,,,,,,,,
91573,Arboleda,276,SAO,3,,,,,1.0,,1.0,,1.0,,,,,,,,,,,
91607,R. Rústico,277,SAN,5,,,,,5.0,2.0,,1.0,,1.0,,,,,,,1.0,,,
91908,Pavón,284,GRE,5,,,,2.0,,,,,,,,,,,,,,,,
92171,Arthur Cabral,263,BOT,5,,,,1.0,1.0,,,,,1.0,,,,,,,,,,
92180,Jair Ventura,287,VIT,6,,,,,,,,,,,,,,,,,,,,
92273,Odair Hellmann,293,CAP,6,,,,,,,,,,,,,,,,,,,,
92747,Eduardo Domínguez,282,CAM,6,,,,,,,,,,,,,,,,,,,,
93368,Lucas Veríssimo,277,SAN,3,,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,
93716,Paulo Henrique,267,VAS,2,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
93790,Marlon Freitas,275,PAL,4,,,,1.0,1.0,,,,,2.0,,,,,,,,1.0,,
94154,Maycon,282,CAM,4,,,,,,2.0,1.0,,,,,,,,,,,,,
95131,Gabriel Taliari,364,REM,5,,,,,3.0,,3.0,,,1.0,,,,,,,,,,
95332,Marcinho,315,CHA,5,,,,,2.0,1.0,,,,,,,,,,,,,,
95362,Cassierra,282,CAM,5,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,
95799,Artur,276,SAO,5,,,,,1.0,,2.0,,,1.0,,,,,,,,,,
96340,Lima,277,SAN,4,,,,,,2.0,,,,,,,,,,,,,,
96591,Renan Lodi,282,CAM,2,,,,,,,1.0,,,,,,,,,,,,,
96678,Bustos,294,CFC,2,,,,,,1.0,,,,,,,,,,,,,,
97133,Dudu,315,CHA,2,,,,,1.0,,,,,,,,,,,1.0,,,,
97145,Villasanti,284,GRE,4,,,,,4.0,3.0,1.0,,,,,,,,,,,,,
97341,Rogério Ceni,265,BAH,6,,,,,,,,,,,,,,,,,,,,
97460,João Victor,2305,MIR,3,,,,,2.0,,,,1.0,,,,,,,,,,,
97520,Shaylon,2305,MIR,4,,,,,2.0,,,,,,,,,,,,,,,
97795,Marcelinho,364,REM,2,,,,1.0,,,3.0,,,2.0,,,,,,,,,,
97868,Iago,276,SAO,2,,,,,,,1.0,,1.0,,,,,,,,,,,
97899,Matheus Bahia,285,INT,2,,,,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
98224,Jáderson,364,REM,4,,,,,,,,,,,,,,,,,,,,
98333,Gabriel Batista,263,BOT,1,,,,,,,,,,,,,5.0,2.0,,,,,,
98617,Maripán,285,INT,3,,,,,,2.0,,1.0,,,,,,,,,,,1.0,
98909,Cuello,282,CAM,5,,,,2.0,1.0,2.0,,1.0,,5.0,,,,,,,,,,
99274,Alexander Barboza,275,PAL,3,,,,,3.0,1.0,,,1.0,,1.0,,,,,,,,,
99520,Ziyech,263,BOT,4,,,,1.0,,,,,,,,,,,,,,,,
99815,Arias,275,PAL,4,,,,,1.0,,2.0,,,1.0,,,,,,,,,,
